ping_burst_id,source_ip,dest_ip,start_time,duration,pcket_size,was_success
0,127.0.0.1,127.0.0.1,10/25/2021 11:53:17 AM 533ms,1,64,true
0,127.0.0.1,127.0.0.1,10/25/2021 11:53:22 AM 531ms,0,64,true
0,127.0.0.1,127.0.0.1,10/25/2021 11:53:27 AM 531ms,0,64,true
0,127.0.0.1,127.0.0.1,10/25/2021 11:53:32 AM 531ms,0,64,true
0,127.0.0.1,127.0.0.1,10/25/2021 11:53:37 AM 531ms,0,64,true
0,127.0.0.1,127.0.0.1,10/25/2021 11:53:42 AM 532ms,0,64,true
0,127.0.0.1,127.0.0.1,10/25/2021 11:53:47 AM 531ms,0,64,true
0,127.0.0.1,127.0.0.1,10/25/2021 11:53:52 AM 531ms,1,64,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:53:55 AM 298ms,0,64,true
0,127.0.0.1,127.0.0.1,10/25/2021 11:53:57 AM 549ms,0,64,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:54:00 AM 299ms,0,64,true
0,127.0.0.1,127.0.0.1,10/25/2021 11:54:02 AM 533ms,0,64,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:54:05 AM 298ms,0,64,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:54:10 AM 319ms,0,64,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:54:15 AM 296ms,0,64,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:54:20 AM 295ms,0,64,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:54:25 AM 295ms,0,64,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:54:30 AM 303ms,0,64,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:54:35 AM 296ms,0,64,true
2,127.0.0.1,127.0.0.1,10/25/2021 11:54:37 AM 48ms,0,32,true
1,127.0.0.1,127.0.0.1,10/25/2021 11:54:40 AM 298ms,0,64,true
2,127.0.0.1,127.0.0.1,10/25/2021 11:54:42 AM 48ms,0,32,true
2,127.0.0.1,127.0.0.1,10/25/2021 11:54:47 AM 55ms,0,32,true
2,127.0.0.1,127.0.0.1,10/25/2021 11:54:52 AM 47ms,0,32,true
2,127.0.0.1,127.0.0.1,10/25/2021 11:54:57 AM 47ms,0,32,true
2,127.0.0.1,127.0.0.1,10/25/2021 11:55:02 AM 56ms,0,32,true
2,127.0.0.1,127.0.0.1,10/25/2021 11:55:07 AM 53ms,0,32,true
